Month,Longitude,Latitude,Crime type
2021-01,0.113661,51.487387,Theft from the person
2021-01,0.031263,51.484338,Theft from the person
2021-01,0.049915,51.477269,Theft from the person
2021-01,0.080768,51.453344,Theft from the person
2021-01,0.05209,51.431719,Theft from the person
2021-01,-0.01479,51.48189,Theft from the person
2021-01,-0.013088,51.482275,Theft from the person
2021-01,-0.017593,51.481677,Theft from the person
2021-01,-0.002802,51.48397,Theft from the person
2021-01,-0.018724,51.471525,Theft from the person
2021-01,-0.018724,51.471525,Theft from the person
2021-01,-0.017086,51.469456,Theft from the person
2021-01,-0.010901,51.479234,Theft from the person
2021-01,-0.010765,51.478063,Theft from the person
2021-01,-0.010901,51.479234,Theft from the person
2021-01,0.005063,51.473495,Theft from the person
2021-01,-0.072503,51.572949,Theft from the person
2021-01,-0.073414,51.573252,Theft from the person
2021-01,-0.073414,51.573252,Theft from the person
2021-01,-0.070923,51.573472,Theft from the person
2021-01,-0.087715,51.573612,Theft from the person
2021-01,-0.090674,51.572554,Theft from the person
2021-01,-0.095803,51.570677,Theft from the person
2021-01,-0.073748,51.566711,Theft from the person
2021-01,-0.071671,51.565346,Theft from the person
2021-01,-0.098314,51.568946,Theft from the person
2021-01,-0.099698,51.567934,Theft from the person
2021-01,-0.102812,51.565584,Theft from the person
2021-01,-0.093375,51.5649,Theft from the person
2021-01,-0.10105600000000001,51.56409,Theft from the person
2021-01,-0.095461,51.561607,Theft from the person
2021-01,-0.085626,51.560476,Theft from the person
2021-01,-0.078249,51.562621,Theft from the person
2021-01,-0.072124,51.560417,Theft from the person
2021-01,-0.068489,51.557012,Theft from the person
2021-01,-0.056984,51.560913,Theft from the person
2021-01,-0.056778,51.5593,Theft from the person
2021-01,-0.055998,51.555942,Theft from the person
2021-01,-0.055019,51.556564,Theft from the person
2021-01,-0.052298,51.553417,Theft from the person
2021-01,-0.046997,51.553562,Theft from the person
2021-01,-0.089659,51.55752,Theft from the person
2021-01,-0.017964,51.553804,Theft from the person
2021-01,-0.045169,51.556499,Theft from the person
2021-01,-0.041466,51.553371,Theft from the person
2021-01,-0.074199,51.552627,Theft from the person
2021-01,-0.054586,51.546782,Theft from the person
2021-01,-0.050569,51.545942,Theft from the person
2021-01,-0.049692,51.545541,Theft from the person
2021-01,-0.050322,51.551711,Theft from the person
2021-01,-0.050322,51.551711,Theft from the person
2021-01,-0.052759,51.550727,Theft from the person
2021-01,-0.052759,51.550727,Theft from the person
2021-01,-0.054738,51.549626,Theft from the person
2021-01,-0.054738,51.549626,Theft from the person
2021-01,-0.05038,51.552396,Theft from the person
2021-01,-0.05278,51.547534,Theft from the person
2021-01,-0.055415,51.546949,Theft from the person
2021-01,-0.056269,51.549921,Theft from the person
2021-01,-0.054882,51.547623,Theft from the person
2021-01,-0.055415,51.546949,Theft from the person
2021-01,-0.054882,51.547623,Theft from the person
2021-01,-0.054882,51.547623,Theft from the person
2021-01,-0.055495,51.548461,Theft from the person
2021-01,-0.057578,51.548324,Theft from the person
2021-01,-0.060619,51.545992,Theft from the person
2021-01,-0.055471,51.544297,Theft from the person
2021-01,-0.055471,51.544297,Theft from the person
2021-01,-0.060619,51.545992,Theft from the person
2021-01,-0.057198,51.54437,Theft from the person
2021-01,-0.060619,51.545992,Theft from the person
2021-01,-0.037185,51.547266,Theft from the person
2021-01,-0.035674,51.543176,Theft from the person
2021-01,-0.024575,51.544374,Theft from the person
2021-01,-0.028598,51.544073,Theft from the person
2021-01,-0.048019,51.548579,Theft from the person
2021-01,-0.045896,51.547627,Theft from the person
2021-01,-0.047108,51.543906,Theft from the person
2021-01,-0.048285,51.544366,Theft from the person
2021-01,-0.051545,51.542685,Theft from the person
2021-01,-0.053206,51.542946,Theft from the person
2021-01,-0.053206,51.542946,Theft from the person
2021-01,-0.041998,51.547031,Theft from the person
2021-01,-0.071599,51.547261,Theft from the person
2021-01,-0.073987,51.547741,Theft from the person
2021-01,-0.069206,51.547239,Theft from the person
2021-01,-0.056697,51.543616,Theft from the person
2021-01,-0.057535,51.544592,Theft from the person
2021-01,-0.063729,51.544083,Theft from the person
2021-01,-0.066844,51.541032,Theft from the person
2021-01,-0.069869,51.540416,Theft from the person
2021-01,-0.06986,51.544714,Theft from the person
2021-01,-0.080372,51.542702,Theft from the person
2021-01,-0.084662,51.54118,Theft from the person
2021-01,-0.081556,51.542676,Theft from the person
2021-01,-0.083205,51.541183,Theft from the person
2021-01,-0.077236,51.544584,Theft from the person
2021-01,-0.078088,51.54386,Theft from the person
2021-01,-0.074666,51.549092,Theft from the person
2021-01,-0.076007,51.546371,Theft from the person
2021-01,-0.076111,51.543891,Theft from the person
2021-01,-0.074394,51.540149,Theft from the person
2021-01,-0.073584,51.538508,Theft from the person
2021-01,-0.073622,51.542384,Theft from the person
2021-01,-0.076018,51.538916,Theft from the person
2021-01,-0.076176,51.541662,Theft from the person
2021-01,-0.073584,51.538508,Theft from the person
2021-01,-0.076018,51.538916,Theft from the person
2021-01,-0.076018,51.538916,Theft from the person
2021-01,-0.043785,51.536639,Theft from the person
2021-01,-0.044678,51.537337,Theft from the person
2021-01,-0.05005,51.540187,Theft from the person
2021-01,-0.043914,51.539689,Theft from the person
2021-01,-0.039396,51.541143,Theft from the person
2021-01,-0.046297,51.542634,Theft from the person
2021-01,-0.046297,51.542634,Theft from the person
2021-01,-0.0567,51.535738,Theft from the person
2021-01,-0.055039,51.540549,Theft from the person
2021-01,-0.056245,51.538977,Theft from the person
2021-01,-0.054902,51.538694,Theft from the person
2021-01,-0.053475,51.537996,Theft from the person
2021-01,-0.056981,51.537964,Theft from the person
2021-01,-0.050937,51.537666,Theft from the person
2021-01,-0.045867,51.538544,Theft from the person
2021-01,-0.046557,51.539931,Theft from the person
2021-01,-0.058224,51.540925,Theft from the person
2021-01,-0.056804,51.541091,Theft from the person
2021-01,-0.058953,51.543132,Theft from the person
2021-01,-0.058953,51.543132,Theft from the person
